old_name,strain,substrate,day,new_name
IMG_4540,bmtr5-80-9,SBP,3d,bmtr5-80-9_SBP_3d
IMG_4541,bmtr5-80-9,none,3d,bmtr5-80-9_none_3d
IMG_4542,bmtr5-80-9,glycerol,3d,bmtr5-80-9_glycerol_3d
IMG_4543,bmtr5-80-9,cellobiose,3d,bmtr5-80-9_cellobiose_3d
IMG_4544,bmtr5-80-9,xylose,3d,bmtr5-80-9_xylose_3d
IMG_4545,bmtr5-80-9,fructose,3d,bmtr5-80-9_fructose_3d
IMG_4546,bmtr5-80-9,mannose,3d,bmtr5-80-9_mannose_3d
IMG_4547,bmtr5-80-9,arabinose,3d,bmtr5-80-9_arabinose_3d
IMG_4548,bmtr5-80-9,galactose,3d,bmtr5-80-9_galactose_3d
IMG_4549,bmtr5-80-9,rhamnose,3d,bmtr5-80-9_rhamnose_3d
IMG_4550,bmtr5-80-9,galacturonic-acid,3d,bmtr5-80-9_galacturonic-acid_3d
IMG_4551,bmtr5-80-9,lactose,3d,bmtr5-80-9_lactose_3d
IMG_4555,CBS464,cellulose,4d,CBS464_cellulose_4d
IMG_4556,CBS464,celluloseBPB,4d,CBS464_celluloseBPB_4d
IMG_4557,CBS464,starch,4d,CBS464_starch_4d
IMG_4558,CBS464,inulin,4d,CBS464_inulin_4d
IMG_4559,CBS464,guar-gum,4d,CBS464_guar-gum_4d
IMG_4560,CBS464,PGA,4d,CBS464_PGA_4d
IMG_4561,CBS464,pectin-apple,4d,CBS464_pectin-apple_4d
IMG_4562,CBS464,pectin-citrus,4d,CBS464_pectin-citrus_4d
IMG_4563,CBS464,SBP,4d,CBS464_SBP_4d
IMG_4564,CBS464,none,4d,CBS464_none_4d
IMG_4565,CBS464,glycerol,4d,CBS464_glycerol_4d
IMG_4566,CBS464,cellobiose,4d,CBS464_cellobiose_4d
IMG_4567,CBS464,xylose,4d,CBS464_xylose_4d
IMG_4568,CBS464,fructose,4d,CBS464_fructose_4d
IMG_4569,CBS464,mannose,4d,CBS464_mannose_4d
IMG_4570,CBS464,arabinose,4d,CBS464_arabinose_4d
IMG_4571,CBS464,galactose,4d,CBS464_galactose_4d
IMG_4572,CBS464,rhamnose,4d,CBS464_rhamnose_4d
IMG_4573,CBS464,galacturonic-acid,4d,CBS464_galacturonic-acid_4d
IMG_4574,CBS464,lactose,4d,CBS464_lactose_4d
IMG_4575,bmtr2-34-1,cellulose,4d,bmtr2-34-1_cellulose_4d
IMG_4576,bmtr2-34-1,celluloseBPB,4d,bmtr2-34-1_celluloseBPB_4d
IMG_4577,bmtr2-34-1,starch,4d,bmtr2-34-1_starch_4d
IMG_4578,bmtr2-34-1,inulin,4d,bmtr2-34-1_inulin_4d
IMG_4579,bmtr2-34-1,guar-gum,4d,bmtr2-34-1_guar-gum_4d
IMG_4580,bmtr2-34-1,PGA,4d,bmtr2-34-1_PGA_4d
IMG_4581,bmtr2-34-1,pectin-apple,4d,bmtr2-34-1_pectin-apple_4d
IMG_4582,bmtr2-34-1,pectin-citrus,4d,bmtr2-34-1_pectin-citrus_4d
IMG_4583,bmtr2-34-1,SBP,4d,bmtr2-34-1_SBP_4d
IMG_4584,bmtr2-34-1,none,4d,bmtr2-34-1_none_4d
IMG_4585,bmtr2-34-1,glycerol,4d,bmtr2-34-1_glycerol_4d
IMG_4586,bmtr2-34-1,cellobiose,4d,bmtr2-34-1_cellobiose_4d
IMG_4587,bmtr2-34-1,xylose,4d,bmtr2-34-1_xylose_4d
IMG_4588,bmtr2-34-1,fructose,4d,bmtr2-34-1_fructose_4d
IMG_4589,bmtr2-34-1,mannose,4d,bmtr2-34-1_mannose_4d
IMG_4590,bmtr2-34-1,arabinose,4d,bmtr2-34-1_arabinose_4d
IMG_4591,bmtr2-34-1,galactose,4d,bmtr2-34-1_galactose_4d
IMG_4592,bmtr2-34-1,rhamnose,4d,bmtr2-34-1_rhamnose_4d
IMG_4593,bmtr2-34-1,galacturonic-acid,4d,bmtr2-34-1_galacturonic-acid_4d
IMG_4594,bmtr2-34-1,lactose,4d,bmtr2-34-1_lactose_4d
IMG_4595,bmtr3-35-2,cellulose,4d,bmtr3-35-2_cellulose_4d
IMG_4596,bmtr3-35-2,celluloseBPB,4d,bmtr3-35-2_celluloseBPB_4d
IMG_4597,bmtr3-35-2,starch,4d,bmtr3-35-2_starch_4d
IMG_4598,bmtr3-35-2,inulin,4d,bmtr3-35-2_inulin_4d
IMG_4599,bmtr3-35-2,guar-gum,4d,bmtr3-35-2_guar-gum_4d
IMG_4600,bmtr3-35-2,PGA,4d,bmtr3-35-2_PGA_4d
IMG_4601,bmtr3-35-2,pectin-apple,4d,bmtr3-35-2_pectin-apple_4d
IMG_4602,bmtr3-35-2,pectin-citrus,4d,bmtr3-35-2_pectin-citrus_4d
IMG_4603,bmtr3-35-2,SBP,4d,bmtr3-35-2_SBP_4d
IMG_4604,bmtr3-35-2,none,4d,bmtr3-35-2_none_4d
IMG_4605,bmtr3-35-2,glycerol,4d,bmtr3-35-2_glycerol_4d
IMG_4606,bmtr3-35-2,cellobiose,4d,bmtr3-35-2_cellobiose_4d
IMG_4607,bmtr3-35-2,xylose,4d,bmtr3-35-2_xylose_4d
IMG_4608,bmtr3-35-2,fructose,4d,bmtr3-35-2_fructose_4d
IMG_4609,bmtr3-35-2,mannose,4d,bmtr3-35-2_mannose_4d
IMG_4610,bmtr3-35-2,arabinose,4d,bmtr3-35-2_arabinose_4d
IMG_4611,bmtr3-35-2,galactose,4d,bmtr3-35-2_galactose_4d
IMG_4612,bmtr3-35-2,rhamnose,4d,bmtr3-35-2_rhamnose_4d
IMG_4613,bmtr3-35-2,galacturonic-acid,4d,bmtr3-35-2_galacturonic-acid_4d
IMG_4614,bmtr3-35-2,lactose,4d,bmtr3-35-2_lactose_4d
IMG_4615,bmtr5-80-9,cellulose,4d,bmtr5-80-9_cellulose_4d
IMG_4616,bmtr5-80-9,celluloseBPB,4d,bmtr5-80-9_celluloseBPB_4d
IMG_4617,bmtr5-80-9,starch,4d,bmtr5-80-9_starch_4d
IMG_4619,bmtr5-80-9,inulin,4d,bmtr5-80-9_inulin_4d
IMG_4620,bmtr5-80-9,guar-gum,4d,bmtr5-80-9_guar-gum_4d
IMG_4621,bmtr5-80-9,PGA,4d,bmtr5-80-9_PGA_4d
IMG_4622,bmtr5-80-9,pectin-apple,4d,bmtr5-80-9_pectin-apple_4d
IMG_4623,bmtr5-80-9,pectin-citrus,4d,bmtr5-80-9_pectin-citrus_4d
IMG_4624,bmtr5-80-9,SBP,4d,bmtr5-80-9_SBP_4d
IMG_4625,bmtr5-80-9,none,4d,bmtr5-80-9_none_4d
IMG_4626,bmtr5-80-9,glycerol,4d,bmtr5-80-9_glycerol_4d
IMG_4627,bmtr5-80-9,cellobiose,4d,bmtr5-80-9_cellobiose_4d
IMG_4628,bmtr5-80-9,xylose,4d,bmtr5-80-9_xylose_4d
IMG_4629,bmtr5-80-9,fructose,4d,bmtr5-80-9_fructose_4d
IMG_4630,bmtr5-80-9,mannose,4d,bmtr5-80-9_mannose_4d
